Name,Open Date (GMT),Close Date (GMT),Website,Whitepaper,Asset,ICO Size ($m)
Opus,7/21/2017,8/24/2017,http://opus-foundation.org/,https://opus-foundation.org/whitepaper.pdf,OPT,1.33
Paquarium,6/22/2017,8/24/2017,https://ico.paquarium.com/#executiveteam,https://ico.paquarium.com/wp-content/uploads/2017/06/Whihte-Paper.pdf,PQT,0.62
Agrello,7/16/2017,8/17/2017,https://www.agrello.org/,https://docs.agrello.org/Agrello-Self-Aware_Whitepaper-English.pdf,DLT,26.14
Tierion,7/27/2017,8/10/2017,https://tokensale.tierion.com/,https://tokensale.tierion.com/TierionTokenSaleWhitePaper.pdf,TNT,25.04
Blocktix,7/7/2017,8/7/2017,https://www.blocktix.io/,https://www.blocktix.io/public/doc/blocktix-wp-draft.pdf#whitepaper,TIX,6.98
district0x Network,7/18/2017,8/1/2017,https://district0x.io/,https://district0x.io/docs/district0x-whitepaper.pdf,DNT,13.19
SunContract,6/30/2017,8/1/2017,https://suncontract.org/,https://suncontract.org/res/whitepaper.pdf,SNC,2.41
FundYourselfNow,6/13/2017,7/31/2017,https://www.fundyourselfnow.com/#,https://www.fundyourselfnow.com/wp-content/uploads/2017/04/FYN-Business_Outline-2017.pdf,FYN,0.74
Giga Watt,6/2/2017,7/31/2017,https://cryptonomos.com/wtt/,,WTT,18.68
Blocktix,7/7/2017,7/28/2017,https://blocktix.io/,https://blocktix.io/public/doc/blocktix-wp-draft.pdf#whitepaper,TIX,6.89
RootProject,7/10/2017,7/28/2017,https://www.rootproject.co/,https://docs.wixstatic.com/ugd/903af2_2e38351151e5444b8a488fb9ee7af43a.pdf,ROOTS,3.50
TrueFlip,6/28/2017,7/28/2017,https://ico.trueflip.io/,https://trueflip.io/TrueFlip%20Whitepaper(01.06).pdf?1,TFL,4.04
GeoFounders,6/25/2017,7/26/2017,http://www.geofounders.com/ico/,http://www.geofounders.com/GeoFoundersWhitePaper.pdf,GUNS,0.23
Primalbase,6/26/2017,7/26/2017,http://primalbase.com/,http://primalbase.com/assets/PrimalbaseWP.pdf,PBT,6.82
Dent,7/11/2017,7/26/2017,https://www.dentcoin.com/,,,4.10
Eros,7/9/2017,7/23/2017,https://eros.vision/,https://eprint.iacr.org/2016/464.pdf,,4.86
SkinCoin,6/21/2017,7/21/2017,https://skincoin.org/,https://skincoin.org/whitepaper.pdf,SKIN,3.32
Gilgam,6/20/2017,7/20/2017,https://ico.gilgam.es/ico,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,GGS,0.22
Gilgam.es,6/20/2017,7/20/2017,https://ico.gilgam.es/,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,,0.21
Pillar,7/15/2017,7/17/2017,https://pillarproject.io/,,PLR,18.53
CoinDash,7/17/2017,7/17/2017,https://coindash.io/,https://coindash.io/coindash-whitepaper.pdf,CDT,0.00
Sumerchain,6/17/2017,7/17/2017,https://sumerchain.com/,https://sumerchain.com/images/button3.png,SMET,0.00
Mothership,7/7/2017,7/16/2017,https://mothership.cx/,https://mothership.cx/documents/whitepaper.pdf,MSP,4.69
Bitquence,6/28/2017,7/16/2017,https://www.bitquence.com/,,BQX,1.23
PressOne,7/12/2017,7/15/2017,https://ico.info/projects/1,\,PRS,82.00
SONM,6/15/2017,7/15/2017,https://sonm.io/,https://sonm.io/Sonm1.pdf,SNM,42.00
Orocrypt,6/14/2017,7/14/2017,https://orocrypt.com/#,https://orocrypt.com/docs/whitepaper.pdf,OROC,0.14
Tezos,7/1/2017,7/13/2017,https://www.tezos.com/,https://www.tezos.com/static/papers/white_paper.pdf,XTZ,232.00
InsureX,7/10/2017,7/13/2017,https://insurex.co/,https://insurex.co/wp-content/uploads/2017/05/insurex_whitepaper.pdf,IXT,17.27
Nimiq,6/28/2017,7/12/2017,https://nimiq.com/,https://icobazaar.com/static/8943c304a27c457957350ecaf4d97c08/NimiqAFrictionlessPaymentProtocolNativetotheWeb.pdf,NET,14.53
ATBcoin,6/12/2017,7/12/2017,https://atbcoin.com/,https://atbcoin.com/whitepaper-en/,ATB,10.84
LeviarCoin,4/7/2017,7/9/2017,https://leviarcoin.org/,https://leviarcoin.org/assets/pdf/LeviarCoin_White_Paper_v1.pdf,XLC,0.77
OnPlace,6/6/2017,7/6/2017,http://investments.onplace.io/,https://github.com/OnPlace/Documents/blob/master/pdf/Whitepaper.pdf,OPL,0.92
Polybius,5/31/2017,7/5/2017,https://polybius.io/,https://polybius.io/media/prospectus.pdf,PLBT,31.65
Santiment,7/4/2017,7/5/2017,https://santiment.net,https://docs.google.com/document/d/1hHmJQWrPrObSgCA8kTbk-4LgqGbYzukQAjtg5b8jwc0,SAN,12.09
OpenANX,,7/4/2017,https://www.openanx.org/en/,https://www.openanx.org/en/assets/whitepaper/openANX_Technical_White_Paper_ENU.pdf,OAX,18.76
Rialto,6/26/2017,7/4/2017,https://www.rialto.ai/,https://www.rialto.ai/wp-content/uploads/2017/06/RIALTO.AI_Whitepaper.pdf,XRL,10.00
Starta,7/4/2017,7/4/2017,https://startaico.com/,https://startaico.com/files/whitepaper.pdf,Starta,5.00
CrypViser,5/20/2017,7/4/2017,https://ico.crypviser.net/,https://ico.crypviser.net/static/docs/CrypViserWhitepaper_en.pdf,,3.93
Rialto.AI,6/28/2017,7/3/2017,https://www.rialto.ai/,https://www.rialto.ai/wp-content/uploads/2017/06/RIALTO.AI_Whitepaper.pdf,,10.00
EncryptoTel,4/24/2017,7/1/2017,https://encryptotel.com/,,ETT,4.52
AdEx,6/30/2017,6/30/2017,https://www.adex.network/,https://www.adex.network/adex/AdEx-Whitepaper-v1.4.pdf,ADX,12.31
BlockPool,5/1/2017,6/30/2017,https://blockpool.io,https://blockpool.io/docs/BLOCK_WP_A.pdf,BPL,1.75
DCORP,6/1/2017,6/29/2017,https://www.dcorp.it/crowdsale,https://github.com/frankbonnet/DCORP-Whitepaper/blob/master/whitepaper%20v0.3.2_EN-revised.pdf,DRP,5.05
Air,6/1/2017,6/29/2017,https://tokeninvestor.com/crowdfunding/air,,XID,0.00
21 Million,6/12/2017,6/28/2017,https://www.21million.co.uk/,https://docs.wixstatic.com/ugd/1478f4_a14804b687c44e4d8a9edbce5f7852e3.pdf,21M,0.38
SilverCoin,6/21/2017,6/27/2017,https://silvercoin.io/,https://silvercoin.io/whitepaper/,SVC,0.21
iDice,6/11/2017,6/26/2017,https://crowdsale.idice.io/,https://crowdsale.idice.io/idice-whitepaper.pdf,ICE,2.02
Octanox,5/25/2017,6/26/2017,https://octanox.org/,https://octanox.org/whitepaper.pdf,OTX,0.00
Wagerr,6/1/2017,6/25/2017,https://wagerr.com/,https://wagerr.com/wagerr_whitepaper_v1.pdf,WGR,9.92
CryptoPing,5/25/2017,6/25/2017,https://cryptoping.tech/,https://cryptoping.tech/cp_whitepaper_en.pdf,PING,0.39
NVO,5/23/2017,6/25/2017,https://nvo.io/,https://nvo.io/assets/whitepaper.pdf,NVO,0.00
TenX,6/24/2017,6/24/2017,https://www.tenx.tech/,https://www.tenx.tech/whitepaper/tenx_whitepaper_final.pdf,PAY,83.11
MaskNetwork,5/24/2017,6/24/2017,http://masknetwork.com/,http://masknetwork.com/white_paper.pdf,MSK,0.00
OmiseGO,6/22/2017,6/23/2017,https://omg.omise.co/,https://cdn.omise.co/omg/whitepaper.pdf,OMG,21.00
FootballCoin,5/24/2017,6/23/2017,https://www.xfccoin.io/,,XFC,2.42
Civic,6/21/2017,6/22/2017,https://www.civic.com/,https://tokensale.civic.com/CivicTokenSaleWhitePaper.pdf,CVC,33.00
Status,6/17/2017,6/21/2017,https://status.im/,https://blog.status.im/introducing-status-ethereum-918b1447274,SNT,95.00
Internet of Coins,3/21/2017,6/21/2017,https://coinstorm.net/en,https://coinstorm.net/whitepaper_ioc.pdf,HYBRID,1.10
Monaco,5/18/2017,6/18/2017,https://mona.co/,https://mona.co/monaco-whitepaper.pdf,MCO,10.29
BidLend,5/20/2017,6/14/2017,http://www.bidlend.io/,,BLC,0.00
Minexcoin,5/15/2017,6/13/2017,https://minexcoin.com/,https://minexcoin.com/html/download/wpeng.pdf,MNC,0.00
SuperDAO,6/13/2017,6/13/2017,http://www.superdao.io/,https://icobazaar.com/static/5d851c6035cf18e85eb9d2ac321f45d3/Pokereum-Whitepaper-version_0.4_modded-HashInfo.pdf,SUP,0.00
Bancor,6/12/2017,6/12/2017,https://www.bancor.network/,https://www.bancor.network/static/Bancor_Protocol_Whitepaper_en.pdf,BNT,153.00
Aira,5/25/2017,6/11/2017,http://aira.life/,http://aira.life/wp-content/uploads/2017/05/Aira_robot_economics_doctrine.pdf,AIR,1.02
Zrcoin,5/11/2017,6/9/2017,https://zrcoin.io/,https://zrcoin.io/files/Whitepaper_ENG.pdf,ZRC,7.01
EcoBit,4/9/2017,6/8/2017,http://www.ecobit.io/en/index.html,https://icobazaar.com/static/759089087958b06bc44a6c2494189f3f/Technology_-_ECOBIT.pdf,ECOB,3.49
Cofound.it,6/4/2017,6/6/2017,https://cofound.it/en/,https://cofounditmedia.s3-eu-west-1.amazonaws.com/documents/Cofound.it_business_plan_Na27itB.pdf,CFI,11.34
VOISE,5/6/2017,6/6/2017,https://voise.it/,https://voise.it/whitepaper-voise.pdf,VSM,0.41
Patientory,5/31/2017,6/3/2017,https://patientory.com/,https://patientory.com/patientory_whitepaper.pdf,PTOY,6.52
Embermine,5/5/2017,6/2/2017,https://embermine.com/,https://embermine.com/about-embermine/the-embermine-manifesto/,EMB,0.08
Adel,5/1/2017,6/1/2017,https://www.adelphoi.io/,https://www.adelphoi.io/content/pdf/wp_1.pdf,ADL,1.21
Basic Attention Token,5/31/2017,5/31/2017,https://basicattentiontoken.org/,https://basicattentiontoken.org/BasicAttentionTokenWhitePaper-4.pdf,BAT,35.00
Exscudo,4/25/2017,5/31/2017,https://exscudo.com/,https://exscudo.com/Whitepaper_v1.0.pdf,EON,5.30
Mysterium Network,5/30/2017,5/30/2017,https://mysterium.network/,https://mysterium.network/whitepaper.pdf,MYST,14.10
Suretly,5/16/2017,5/30/2017,https://www.ico.suretly.com/,https://suretly.com/docs/Suretly_whitepaper_v1.2.pdf,SUR,1.68
Veritaseum,4/25/2017,5/26/2017,http://veritas.veritaseum.com/,,VER,9.58
Metal,5/26/2017,5/26/2017,https://www.metalpay.com/,,METAL,0.03
MobileGo,4/25/2017,5/25/2017,https://mobilego.io/,https://mobilego.io/pdf/MobileGo-Whitepaper.pdf,MOBILEGO,53.07
Storj,5/19/2017,5/25/2017,https://storj.io/index.html,https://storj.io/storj.pdf,STORJ,29.22
E4ROW,5/2/2017,5/22/2017,https://www.e4row.co.il/,https://medium.com/e4row/e4row-development-blueprint-d6284c78bf1a,E4ROW,0.86
Viva Coin,5/1/2017,5/21/2017,https://vivaco.in/,https://s3.amazonaws.com/vivacoin/viva-white-paper-v-2-1.pdf,VIVA,0.00
Aragon,5/17/2017,5/17/2017,https://aragon.one/,,ANT,24.75
BitcoinGrowthFund,4/27/2017,5/17/2017,https://bitcoingrowthfund.com/mcap,,MCAP,19.35
Peerplays,2/26/2017,5/15/2017,https://www.peerplays.com/,https://www.peerplays.com/docs/Peerplays_Whitepaper.pdf,PEERPLAYS,1.46
Ethbits,4/15/2017,5/15/2017,https://www.ethbits.com/,https://ico.ethbits.com/white_paper.pdf,ETB,1.28
Legends Room,4/18/2017,5/15/2017,https://legendsroomlv.com/,\,LGD,1.23
BOScoin,5/9/2017,5/10/2017,https://boscoin.io/en/home/,https://icobazaar.com/static/10839a54594c1935932ea3013647ed64/BOScoinWhitePaper.pdf,BOS,17.92
Nexxus,5/8/2017,5/8/2017,http://www.nexxuscoin.com/sections/company/21/nexxuscoin/index.html,,NXX,0.00
Quantum Resistant Ledger,5/1/2017,5/7/2017,https://theqrl.org/,https://theqrl.org/whitepaper/QRL_whitepaper.pdf,QRL,4.16
TokenCard,5/2/2017,5/2/2017,https://tokencard.io/,http://tokencard.io/tokencard_whitepaper.pdf,TKN,12.70
Creativechain,3/15/2017,5/1/2017,https://www.creativechain.org,http://creativechain.org/whitepaper/,CREA,0.35
Apptrade,2/28/2017,4/30/2017,https://www.apptrade.io/,https://ito.apptrade.io/docs/opp.pdf,APPX,0.24
Lunyr,3/29/2017,4/28/2017,https://lunyr.com/,https://github.com/Lunyr/Lunyr/blob/master/Lunyr_White_Paper_ENG.pdf,LUN,5.32
Back to Earth,4/26/2017,4/28/2017,https://backto.earth/,https://backto.earth/blog/back-to-earth-white-paper/,SRC,0.97
TaaS,3/27/2017,4/27/2017,https://taas.fund/,http://taas.fund/media/whitepaper.pdf,TAAS,7.57
Humaniq,4/6/2017,4/27/2017,https://humaniq.co/,,HMQ,5.16
Gnosis,4/24/2017,4/24/2017,https://gnosis.pm/,https://gnosis.pm/resources/default/pdf/gnosis_whitepaper.pdf,GNO,12.25
IEX.EC,4/19/2017,4/19/2017,http://iex.ec/,http://iex.ec/wp-content/uploads/2017/04/iExec-WPv2.0-English.pdf,RLC,12.12
WeTrust,3/2/2017,4/12/2017,https://www.wetrust.io/,https://www.wetrust.io/#home-section-whitepaper,TRST,4.66
Blockchain Capital,4/10/2017,4/10/2017,http://blockchain.capital/,,BCAP,10.00
Aeternity,4/3/2017,4/6/2017,https://www.aeternity.com/,http://blockchain.aeternity.com/%C3%A6ternity-blockchain-whitepaper.pdf,XAE,22.63
Cosmos Network,4/6/2017,4/6/2017,https://cosmos.network/,https://cosmos.network/whitepaper,ATOM,16.80
Cosmos,4/5/2017,4/5/2017,https://cosmos.network/,,,0.39
Matchpool,4/2/2017,4/3/2017,https://matchpool.co/,https://matchpool.co/wp-content/uploads/2016/12/Matchpool_Whitepaper_140117.pdf,GUP,5.63
Equibit,2/1/2017,3/31/2017,http://equibitgroup.com/,http://equibit.org/equibit.pdf,EQB,1.14
Chain of Points,2/26/2017,3/31/2017,https://chainofpoints.com/,https://chainofpoints.com/cop_whitepaper.pdf,POINTS,0.01
CashScripter,2/28/2017,3/30/2017,https://www.cashscripter.com/,https://www.cashscripter.com/themes/cs/assets/docs/whitepaper.pdf,XCS,0.19
Qtum,3/16/2017,3/21/2017,https://qtum.org/en/,https://qtum.org/uploads/files/cf6d69348ca50dd985b60425ccf282f3.pdf,QTUM,15.43
Edgeless,2/28/2017,3/21/2017,https://edgeless.io/,https://github.com/EdgelessCasino/White_paper/blob/master/White_Paper.pdf,EDG,2.65
Lykke,2/9/2017,2/28/2017,https://www.lykke.com/,https://www.lykke.com/ico/Whitepaper_LykkeExchange.pdf,Lykke,1.21
Augmentors,1/31/2017,2/28/2017,http://www.augmentorsgame.com/,http://www.augmentorsgame.com/wp-content/uploads/2017/01/170130.cln-Augmentor-ICO-Sale-Agreement.pdf,DBT,1.09
Lykke (2nd round),2/8/2017,2/27/2017,https://www.lykke.com/,,LKK,1.97
Contingency,1/31/2017,2/27/2017,https://contingency.tech/,,,0.39
Etheroll,2/12/2017,2/26/2017,https://etheroll.com/,https://etheroll.wordpress.com/,DICE,0.29
Melon,2/15/2017,2/15/2017,https://melonport.com/,https://github.com/melonproject/greenpaper/blob/master/melonprotocol.pdf,MLN,2.90
Chronobank,12/15/2016,2/14/2017,https://chronobank.io/,https://chronobank.io/files/whitepaper.pdf,LH,5.40
Dfinity,2/11/2017,2/13/2017,https://dfinity.network/,https://dfinity.network/documentation/,DFN,3.75
Tokes,12/1/2016,1/14/2017,http://cannabisrevolution.us/,,TKS,0.25
Wings,11/18/2016,1/6/2017,https://www.wings.ai/#!/home/discover,https://wingsfoundation.ch/?whitepaper=1,WINGS,2.07
BetKing,11/30/2016,12/31/2016,https://betking.io/,,,0.55
Darcrus,12/21/2016,12/28/2016,https://darcr.us/,https://darcr.us/docs/Darcrus-Use-Cases.pdf,DAR,0.30
BlockCDN,12/10/2016,12/26/2016,http://www.blockcdn.org/,http://www.blockcdn.org/file/BlockCDN1.2.pdf,BCDN,0.30
Ether.camp,10/20/2016,12/22/2016,http://www.ether.camp/,,HKG,0.65
Virtual Accelerator,10/19/2016,12/21/2016,http://www.ether.camp/,,,0.65
Mysterium (1st round),12/16/2016,12/18/2016,https://mysterium.network/,https://mysterium.network/whitepaper.pdf,,0.05
vDice,11/15/2016,12/15/2016,https://www.vdice.io/,https://blog.vdice.io/what-is-vdice-ether-gambling/,vSlice ,1.65
Ark,11/7/2016,12/11/2016,https://ark.io/,https://ark.io/whitepaper/,ARK,1.00
Golos,11/1/2016,12/4/2016,https://golos.io/,https://wiki.golos.io/1-introduction/golos_whitepaper.html,GOLOS,0.45
Incent,9/30/2016,11/30/2016,https://www.incentloyalty.com/,,INCNT,1.00
Beyond the Void,11/1/2016,11/30/2016,https://www.beyond-the-void.net/,https://www.beyond-the-void.net/wiki/tag/ico/,Nexium,0.33
MassNetwork,9/25/2016,11/30/2016,https://mass.network/,,,0.25
Arcade City,11/1/2016,11/29/2016,https://arcade.city/,https://docs.google.com/document/d/1Fm39dHCJmAAZ-P5C-qOc4P2f0Vx__84AhDD98LPNLVY,ARC,0.64
ETCWin,11/23/2016,11/23/2016,https://www.etcwin.com/,http://etcwin.com/html/ETCWin_en.html,WIN,1.31
Komodo,10/15/2016,11/20/2016,https://komodoplatform.com/,https://komodoplatform.com/downloads/Komodo_dPoW_Whitepaper_v1.pdf,KMD,1.98
Golem,11/11/2016,11/11/2016,https://golem.network/,https://golem.network/doc/Golemwhitepaper.pdf,GNT,8.60
Kibo Lotto,9/30/2016,11/9/2016,https://kiboplatform.net/en/landing.html,https://kiboplatform.net/_alldata/files/kibowhitepaper.pdf,,1.90
Decent,9/11/2016,11/6/2016,https://decent.ch/,https://wiki.decent.ch/doku.php,DCT,4.13
Synereo,9/19/2016,10/17/2016,https://www.synereo.com/,https://github.com/synereo/synereo.github.io/raw/master/whitepapers/synereo.pdf,AMP,4.70
Lykke (1st round),9/11/2016,10/9/2016,https://www.lykke.com/,,LKK,1.15
SingularDTV,10/2/2016,10/2/2016,https://singulardtv.com/,,SNGLS,7.50
Iconomi,8/25/2016,9/26/2016,https://www.iconomi.net/,,ICN,10.50
First Blood,9/26/2016,9/26/2016,https://firstblood.io/sale/,,1SÅ¦,5.50
Antshares,8/8/2016,9/7/2016,https://www.antshares.org/,http://docs.antshares.org/zh-cn/white-paper.html,ANT,3.50
Metaverse,9/5/2016,9/5/2016,http://viewfin.com/index.html#team,https://github.com/ViewFin/Metaverse/blob/master/Metaverse%20White%20Paper(draft)-EN.pdf,ETP,3.00
BlockPay,8/20/2016,9/5/2016,https://blockpay.ch/,,,0.66
Elastic,3/11/2016,8/19/2016,http://www.elastic-project.com/,,XEL,0.42
HEAT,7/11/2016,8/16/2016,http://heatledger.com/,http://heatledger.com/HEATWhitepaper.pdf,HEAT,0.90
Icoo,5/19/2016,7/30/2016,https://www.icoo.io/,,ICOO,0.37
Xaurum,,7/16/2016,https://rico.xaurum.org/,,Xaurum,0.85
Stratis,,7/16/2016,https://stratisplatform.com/,https://stratisplatform.com/files/Stratis_Whitepaper.pdf,STRAT,0.60
Breakout Coin,6/13/2016,7/7/2016,http://www.breakoutcoin.com/,https://github.com/BreakoutCoin/Breakout-Chain-Whitepaper/releases/download/1.0/Breakout-Chain-WP-1.0.pdf,BRK,0.56
Waves,,6/1/2016,https://wavesplatform.com/downloads.html#,,WAVES,16.00
Rise,,6/1/2016,https://rise.vision/,,RISE,1.10
Plutus,,6/1/2016,https://getplutons.plutus.it/,https://plutus.it/assets/Plutus.it-White-Paper-v1.1.pdf,GBP,1.00
Mycelium  (2nd round),4/30/2016,5/17/2016,https://wallet.mycelium.com/,https://wallet.mycelium.com/crowdsale.pdf,,2.33
The DAO,4/30/2016,5/1/2016,https://forum.daohub.org/,https://daowiki.atlassian.net/wiki/,DAO,152.00
Project Decorum,4/3/2016,5/1/2016,http://www.project-decorum.com/,http://www.project-decorum.com/live-proof-of-concept/,PDC,0.43
Ionomy,,4/1/2016,https://ionomy.com/,https://github.com/ionomy/ion/wiki/ION-Technical-Whitepaper,ION,0.50
DigixGlobal,3/29/2016,3/29/2016,https://dgx.io/,,,5.50
DigixDAO,3/28/2016,3/28/2016,https://www.dgx.io/,https://dgx.io/whitepaper.pdf,DGD,5.50
Lisk,2/22/2016,3/21/2016,https://lisk.io/,https://docs.lisk.io/docs,LSK,5.80
Obits,,1/1/2016,https://obits.io/,,OBITS,0.30
Iota,11/24/2015,12/20/2015,https://iota.org/,\,IOTA,0.44
Augur,8/17/2015,10/1/2015,https://augur.net/,http://docs.augur.net/,REP,5.14
Spells of Genesis,8/3/2015,9/1/2015,https://spellsofgenesis.com/,,,0.53
Factom,3/30/2015,5/14/2015,https://www.factom.com/,,FCT,0.54
NeuCoin,4/27/2015,4/30/2015,http://www.neucoin.org/en/,,NEU,0.63
DacPlay,1/4/2015,2/21/2015,https://dacplay.org/en/,,,0.59
GetGems,11/30/2014,1/4/2015,http://getgems.org,,GEMZ,0.74
MUSE,6/9/2014,12/3/2014,http://www.museblockchain.com,,MUSE,0.54
SuperNET,4/29/2014,9/22/2014,http://thesupernet.org/,,UNITY,2.50
Ethereum,7/23/2014,9/2/2014,https://ethereum.org/,https://github.com/ethereum/wiki/wiki/White-Paper,ETH,18.44
Storjcoin X,7/17/2014,8/17/2014,https://storj.io/index.html,https://github.com/Storj/,SJCX,0.42
Swarm,7/16/2014,7/19/2014,https://swarmcorp.com/,,SWARM,0.74
MaidSafeCoin,4/21/2014,5/21/2014,https://maidsafe.net/,https://github.com/maidsafe/Whitepapers/blob/master/Project-Safe.md,MAID,6.00
Counterparty,1/2/2014,2/3/2014,https://counterparty.io/,https://github.com/CounterpartyXCP/Documentation/blob/master/Developers/protocol_specification.md,XCP,1.79